iter	Passed	Remaining
0	80	15946
1	147	14638
2	210	13821
3	267	13088
4	315	12296
5	372	12045
6	429	11845
7	480	11531
8	541	11491
9	596	11330
10	651	11190
11	706	11074
12	763	10989
13	821	10909
14	869	10720
15	929	10690
16	983	10582
17	1035	10466
18	1086	10347
19	1137	10238
20	1188	10133
21	1243	10060
22	1296	9975
23	1353	9927
24	1406	9847
25	1459	9768
26	1514	9703
27	1577	9692
28	1631	9619
29	1687	9561
30	1743	9506
31	1801	9456
32	1860	9413
33	1921	9381
34	1975	9313
35	2035	9274
36	2095	9230
37	2147	9155
38	2205	9105
39	2255	9020
40	2306	8946
41	2362	8886
42	2417	8826
43	2469	8756
44	2529	8714
45	2585	8654
46	2637	8585
47	2698	8543
48	2754	8489
49	2812	8436
50	2870	8387
51	2928	8334
52	2988	8289
53	3038	8214
54	3089	8145
55	3145	8087
56	3199	8026
57	3255	7969
58	3308	7906
59	3363	7847
60	3414	7779
61	3471	7725
62	3518	7650
63	3579	7607
64	3631	7541
65	3684	7481
66	3742	7428
67	3798	7372
68	3850	7310
69	3902	7247
70	3955	7187
71	4015	7138
72	4074	7088
73	4130	7033
74	4183	6972
75	4232	6906
76	4285	6845
77	4342	6791
78	4395	6731
79	4443	6665
80	4496	6605
81	4553	6553
82	4608	6496
83	4657	6431
84	4712	6375
85	4768	6320
86	4817	6257
87	4868	6196
88	4917	6133
89	4945	6044
90	5005	5996
91	5058	5937
92	5115	5885
93	5175	5836
94	5227	5777
95	5287	5728
96	5346	5677
97	5396	5617
98	5448	5558
99	5501	5501
100	5563	5453
101	5612	5392
102	5661	5331
103	5714	5274
104	5769	5220
105	5823	5164
106	5879	5109
107	5931	5052
108	5986	4998
109	6038	4940
110	6090	4883
111	6146	4829
112	6195	4769
113	6250	4715
114	6304	4659
115	6331	4584
116	6385	4530
117	6435	4471
118	6487	4415
119	6538	4359
120	6589	4302
121	6642	4246
122	6694	4190
123	6750	4137
124	6805	4083
125	6862	4030
126	6916	3975
127	6971	3921
128	7028	3868
129	7079	3811
130	7134	3757
131	7186	3702
132	7239	3646
133	7299	3595
134	7353	3540
135	7407	3486
136	7459	3430
137	7513	3375
138	7571	3322
139	7629	3269
140	7687	3216
141	7738	3160
142	7796	3107
143	7847	3051
144	7904	2998
145	7955	2942
146	8007	2887
147	8064	2833
148	8118	2778
149	8183	2727
150	8238	2673
151	8293	2618
152	8349	2564
153	8403	2510
154	8458	2455
155	8509	2400
156	8568	2346
157	8616	2290
158	8674	2236
159	8727	2181
160	8786	2128
161	8839	2073
162	8889	2017
163	8940	1962
164	8996	1908
165	9053	1854
166	9106	1799
167	9158	1744
168	9211	1689
169	9266	1635
170	9320	1580
171	9376	1526
172	9424	1470
173	9475	1415
174	9531	1361
175	9582	1306
176	9636	1252
177	9694	1198
178	9744	1143
179	9799	1088
180	9856	1034
181	9910	980
182	9966	925
183	10024	871
184	10076	817
185	10130	762
186	10187	708
187	10243	653
188	10297	599
189	10349	544
190	10405	490
191	10459	435
192	10512	381
193	10577	327
194	10630	272
195	10682	218
196	10735	163
197	10788	108
198	10838	54
199	10894	0
